0.390	0.114	0.441	0.083
0.433	0.122	0.422	0.080
0.377	0.106	0.448	0.085
0.505	0.130	0.393	0.078
0.458	0.127	0.413	0.079
0.449	0.122	0.412	0.080
0.375	0.111	0.447	0.083
0.492	0.126	0.396	0.080
0.346	0.107	0.463	0.085
0.444	0.124	0.416	0.080
0.586	0.142	0.352	0.073
0.420	0.120	0.433	0.082
0.380	0.110	0.446	0.084
0.362	0.106	0.452	0.085
0.423	0.117	0.426	0.082
0.488	0.126	0.395	0.078
0.341	0.104	0.466	0.086
0.407	0.119	0.437	0.082
0.398	0.116	0.437	0.082
0.530	0.138	0.380	0.076
0.433	0.117	0.425	0.083
0.471	0.123	0.402	0.080
0.362	0.107	0.457	0.085
0.415	0.119	0.428	0.081
0.388	0.112	0.440	0.083
0.348	0.105	0.469	0.087
0.579	0.140	0.358	0.075
0.448	0.121	0.414	0.080
0.453	0.124	0.412	0.080
0.627	0.153	0.337	0.070
0.525	0.132	0.376	0.076
0.566	0.141	0.363	0.074
0.463	0.125	0.406	0.078
0.490	0.129	0.399	0.079
0.254	0.090	0.505	0.089
0.526	0.135	0.383	0.077
0.367	0.109	0.454	0.084
0.463	0.126	0.408	0.079
0.389	0.113	0.440	0.083
0.583	0.144	0.351	0.072
0.389	0.109	0.436	0.083
0.501	0.128	0.389	0.078
0.394	0.111	0.440	0.084
0.519	0.132	0.383	0.077
0.369	0.109	0.454	0.085
0.496	0.127	0.391	0.078
0.442	0.120	0.415	0.080
0.454	0.124	0.409	0.079
0.274	0.093	0.499	0.089
0.323	0.099	0.475	0.087
0.525	0.133	0.378	0.076
0.442	0.121	0.417	0.080
0.465	0.122	0.407	0.080
0.321	0.098	0.476	0.088
0.474	0.127	0.404	0.079
0.480	0.124	0.400	0.080
0.463	0.129	0.412	0.079
0.379	0.110	0.448	0.084
0.478	0.123	0.400	0.080
0.398	0.115	0.433	0.082
0.238	0.087	0.515	0.090
0.513	0.133	0.381	0.076
0.385	0.112	0.443	0.083
